	FILENAME	TRACK TITLE FOR REPORTING	COMPOSER/S 		PUBLISHER	DESCRIPTION	BPM	SUGGESTED USE	keywords
SERIES 8	MKR S08 Comedy 4	My Kitchen Rules Background (Series 8)	Jay Stewart/ Damian De Boos Smith		RED MUSIC PUBLISHING	Filmic comedy. Pizz and mallets with woodwinds. Think Benjanin Button…modern Disney		Light quirky/comedic action	
SERIES 8	MKR S08 Cooking Beat Build 2	My Kitchen Rules Background (Series 8)	Jay Stewart/ Damian De Boos Smith		RED MUSIC PUBLISHING	Simmering electric pulses gradually build		Intense concentration without jeapody	
SERIES 8	MKR S08 Cookin Beat Aggitated 1	My Kitchen Rules Background (Series 8)	Jay Stewart/ Damian De Boos Smith		RED MUSIC PUBLISHING	Aggitated strings Low vs high with Hip Hop style beats.  		Concentrated cooking efforts with some jeapody	
SERIES 8	MKR S08 Comedy 5	My Kitchen Rules Background (Series 8)	Jay Stewart/ Damian De Boos Smith		RED MUSIC PUBLISHING	Light pizz and woodwinds with quirky hand percussion create a slightly misscheivious comedy		Comedy	
SERIES 8	MKR S08 Cooking Beat tension build 1	My Kitchen Rules Background (Series 8)	Jay Stewart		RED MUSIC PUBLISHING	Low string riff sets up tension with held string and piano builds		Cooking tension	
SERIES 8	MKR S08 Cooking Beat tension build 2	My Kitchen Rules Background (Series 8)	Jay Stewart		RED MUSIC PUBLISHING	Pulsing lo tymps with held string tensions driven by Cello riff		Cooking tension….not too dramatic	
SERIES 8	MKR S08 Cooking Beat tension 3	My Kitchen Rules Background (Series 8)	Jay Stewart		RED MUSIC PUBLISHING	Mallets and precussion create clock style tension will sting held builds.		Cooking tension….not too dramatic	
SERIES 8	MKR S08 Cooking Beat tension 4	My Kitchen Rules Background (Series 8)	Jay Stewart/ Damian De Boos Smith		RED MUSIC PUBLISHING	Fast modern rhythm with strong string accents. A race to the finish		Cooking and active tensions	
SERIES 8	MKR S08 Cooking Beat tension 5	My Kitchen Rules Background (Series 8)	Jay Stewart/ Damian De Boos Smith		RED MUSIC PUBLISHING	Fast mid strings with lo string accents….builds to a bass pulses breakdown….then picks up		Cooking tensions	
SERIES 8	MKR S08 Drama tease 1	My Kitchen Rules Background (Series 8)	Jay Stewart/ Damian De Boos Smith		RED MUSIC PUBLISHING	strong orchestral hits lead into a strident orchestral drama. Plenty of brass and percussion accent		Tease	
SERIES 8	MKR S08 Drama tease 2	My Kitchen Rules Background (Series 8)	Jay Stewart/ Damian De Boos Smith		RED MUSIC PUBLISHING	Strong dramatic orchestra with many strong hits and accents punctuate		Tease	
SERIES 8	MKR S08 Drama tease 3	My Kitchen Rules Background (Series 8)	Jay Stewart/ Damian De Boos Smith		RED MUSIC PUBLISHING	Rubust string accents with soilid tymp pulses. Building strident brass accents		Tease	
SERIES 8	MKR S08 Judges taste food 3	My Kitchen Rules Background (Series 8)	Jay Stewart		RED MUSIC PUBLISHING	Light lo pizz and hand percussion set up with string pad light tensions		taste or judge food	
SERIES 8	MKR S08 Pos to Neg 7	My Kitchen Rules Background (Series 8)	Jay Stewart		RED MUSIC PUBLISHING	Anticipation piano and strings build happy anticipation through to surprise turn to tension		Positive to surprise tension drama	
									
SERIES 9	MKR S09 Cooking NRG 1 V2	My Kitchen Rules Background (Series 9)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	Medium hip hop drums with bell riffs and string accents		General energy Cooking with purpose	
SERIES 9	MKR S09 Cooking NRG 2	My Kitchen Rules Background (Series 9)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	Hip Hop beat with punctuation strings		General energy	
SERIES 9	MKR S09 Cooking NRG 3	My Kitchen Rules Background (Series 9)	Jay Stewart		RED MUSIC PUBLISHING	Hip Hop beat with punctuation strings and string accent swells. Tension & release sections		General energy	
SERIES 9	MKR S09 Cooking NRG 4	My Kitchen Rules Background (Series 9)	Jay Stewart		RED MUSIC PUBLISHING	Hip Hop beat with punctuation strings and Low piano. Tension & release sections		General energy	
SERIES 9	MKR S09 Cooking NRG 5	My Kitchen Rules Background (Series 9)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	Fast pulsing strings with electro tension pulses		Moderate fast energy with some tension	
SERIES 9	MKR S09 Pos to neg 1	My Kitchen Rules Background (Series 9)	Jay Stewart		RED MUSIC PUBLISHING	Low string accents with repeated mallet motiff….morphs into negative dark tensions		Positive to dissappointment	
SERIES 9	MKR S09 Excitement to failure 1	My Kitchen Rules Background (Series 9)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	Positive bell motiff with string punctuactions morphs to low dark pulse with piano tensions		Positive to dissappointment	
SERIES 9	MKR S09 Table tension 1	My Kitchen Rules Background (Series 9)	Jay Stewart		RED MUSIC PUBLISHING	Pulsing percussion with light tension pads interspersed with string accents		Light table conversation	
SERIES 9	MKR S09 Table tension 2	My Kitchen Rules Background (Series 9)	Jay Stewart		RED MUSIC PUBLISHING	Pulsing synth mallets with swelling string tensions. Ticking percussion lightly drives		Light table conversation	
SERIES 9	MKR S09 Table tension 3	My Kitchen Rules Background (Series 9)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	Harp melodies with Bass answer accents. Tension pads and string accents		Light table conversation	
SERIES 9	MKR S09 Table tension 4	My Kitchen Rules Background (Series 9)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	String tensions and low fast pulses. Percussion accents		Light table conversation	
SERIES 9	MKR S09 Comedy 1	My Kitchen Rules Background (Series 9)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	Quirky pizz strings with hip hop drums		Comedy	
SERIES 9	MKR S09 Comedy 2	My Kitchen Rules Background (Series 9)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	Quirky Synth melodies balanced against hi and Low Pizz strings		Comedy	
SERIES 9	MKR S09 Comedy 3	My Kitchen Rules Background (Series 9)	Jay Stewart		RED MUSIC PUBLISHING	Pizz strings and hip hop percussion		Comedy	
SERIES 9	MKR S09 Comedy 4	My Kitchen Rules Background (Series 9)	Jay Stewart		RED MUSIC PUBLISHING	Funky mallets and quirky delay percussion		Comedy	
SERIES 9	MKR S09 Light Fun 1	My Kitchen Rules Background (Series 9)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	Mallets and strings with hip hop drums and 80's bass samples		Light fun and quirky action	
SERIES 9	MKR S09 Light Fun 2	My Kitchen Rules Background (Series 9)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	Low pizz and mallets accents. 		Light fun and quirky action	
SERIES 9	MKR S09 Light Fun 3	My Kitchen Rules Background (Series 9)	Jay Stewart		RED MUSIC PUBLISHING	Jazz funky Bass drives with mallets tensions		Light fun and quirky action	
SERIES 9	MKR S09 Light Fun 4	My Kitchen Rules Background (Series 9)	Jay Stewart		RED MUSIC PUBLISHING	Jazz funky Bass drives with mallets melodies. 		Light fun and quirky action	
SERIES 9	MKR S09 Neg to Pos 1	My Kitchen Rules Background (Series 9)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	Low pulses and tension bells with ticking percussion. String builds into positive releif		tension to uplifting positive	
SERIES 9	MKR S09 Neg to Pos 2	My Kitchen Rules Background (Series 9)	Jay Stewart		RED MUSIC PUBLISHING	Low tension electring oianos with Bell Bass hits into pulsing positive "Wide Awake" pop sound		tension to uplifting positive	
SERIES 9	MKR S09 Cooking NRG 6	My Kitchen Rules Background (Series 9)	Jay Stewart		RED MUSIC PUBLISHING	Driving Strings with solid Hip Hop Beat. Tension rises in the middle		General energy Cooking with purpose	
SERIES 9	MKR S09 Cooking NRG 7	My Kitchen Rules Background (Series 9)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	Purposeful synth bells with hip hop perc. Punctuated by string accents…builds to climax		General energy Cooking with purpose	
SERIES 9	MKR S09 Cooking NRG 8	My Kitchen Rules Background (Series 9)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	fast driving beats and percusion. String punctuations with middle breakdown.		General energy Cooking with urgency	
SERIES 9	MKR S09 Cooking NRG 9	My Kitchen Rules Background (Series 9)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	fast and choppy Kick and Bass. With driving strings. Industrial percussion in background		General energy Cooking slightly frantic	
SERIES 9	MKR S09 Cooking NRG 10	My Kitchen Rules Background (Series 9)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	medium hip hop beat with light pizz & bells. Less tension & more fun		General energy Cooking fun & adventurous	
SERIES 9	MKR S09 Cooking NRG 11	My Kitchen Rules Background (Series 9)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	medium fast hip hop beats with low string accents. Synth pulses and low synth growl accents.		General energy Cooking with purpose	
SERIES 9	MKR S09 Cooking NRG 12	My Kitchen Rules Background (Series 9)	Jay Stewart		RED MUSIC PUBLISHING	medium fast pop drums with alternating energy & tension.		General energy Cooking with purpose	
SERIES 9	MKR S09 Cooking NRG 13	My Kitchen Rules Background (Series 9)	Jay Stewart		RED MUSIC PUBLISHING	bells, synth & percussion build with percussion. Energitic but delicate. Also vers with strings		General energy Cooking with intention & care	
SERIES 9	MKR S09 Russian irony	My Kitchen Rules Background (Series 9)	Jay Stewart		RED MUSIC PUBLISHING	playful Russian track. With Pizz, mallets and russian army choir		Russian energy	
SERIES 9	MKR S09 Cooking NRG 14	My Kitchen Rules Background (Series 9)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	medium beat with low string melody with hip hop tech synth pulses		General energy Cooking with purpose	
SERIES 9	MKR S09 Cooking NRG 15	My Kitchen Rules Background (Series 9)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	fast beat with string melody intro develops to tense middle….builds tobig end		General energy Cooking with urgency	
SERIES 9	MKR S09 Cooking NRG 16	My Kitchen Rules Background (Series 9)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	medium but solid hip hop beat with orchestral low riff. Middle sect is building tension		General energy Cooking with urgency	
SERIES 9	MKR S09 Cooking NRG 17	My Kitchen Rules Background (Series 9)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	medium hip hop beat with orchestral lo melodies…key changes lift gears throughout		General energy Cooking with purpose	
SERIES 9	MKR S09 Cooking NRG 18	My Kitchen Rules Background (Series 9)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	solid hip hop beat and synth stabs….tension added with hi synth bells		General energy Cooking with purpose	
SERIES 9	MKR S09 Cooking NRG 19	My Kitchen Rules Background (Series 9)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	modern beats and synth energies with latin flavour		General energy Cooking with purpose	
SERIES 9	MKR S09 Table tension 5	My Kitchen Rules Background (Series 9)	Jay Stewart/ Damian De Boos Smith		RED MUSIC PUBLISHING	Low pulsing percussion building with synth pads & pulses		general tension	
SERIES 9	MKR S09 Neg to Pos 3	My Kitchen Rules Background (Series 9)	Jay Stewart		RED MUSIC PUBLISHING	Low urgent tension pulse gives way to lighter pos mood and then finally complete positivity		Neg to optimistic to elation	
SERIES 9	MKR S09 Pos to neg 2	My Kitchen Rules Background (Series 9)	Jay Stewart		RED MUSIC PUBLISHING	light optimistic feel with mallets and strings Slight pause and mood changes to low drone with pulses		pos to neg	
SERIES 9	MKR S09 Light Table comedy 1	My Kitchen Rules Background (Series 9)	Jay Stewart		RED MUSIC PUBLISHING	Simple pizz & percussion creating light moods…slightly comedic		Table light	
SERIES 9	MKR S09 Cooking NRG 1 Quirky Bits BJ	My Kitchen Rules Background (Series 9)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING				
SERIES 9	MKR S09 Cooking NRG 1 Full BJ	My Kitchen Rules Background (Series 9)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING				
									
SERIES 10	MKR S10 Cool Fun	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	Cool picked low guitars and percussive effects for Cheaky cooking moments		Light fun	
SERIES 10	MKR S10 Busy Fun	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	Busy Hip hop drums and quirky percussion with mallets and string quirky melodies		Light fun/ Cooking/ Table dressing	
SERIES 10	MKR S10 Retro Fun	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	Organ and vibes drive a retro funky throw back		Light fun/ Cooking/ Table dressing	
SERIES 10	MKR S10 Bumbling fun	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	Pizz and pots and pans. Comedic bumbling around the kitchen		Light fun/ Cooking/ Table dressing	
SERIES 10	MKR S10 Latin Comedy	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	Latin inspired Pizz and mallets….comedic trills and hits		Light Comedy/ Conversation/Light action	
SERIES 10	MKR S10 Domestic Godess Comedy	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	retro style 50's domestic godess…things are whacky in the kitchen		Busy Comedy/ Kitchen Mayhem	
SERIES 10	MKR S10 Kitchen Comedy	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	Pizz and Xylo create general quirky Kitchen comedy		Comedy/ Kitchen fumble	
SERIES 10	MKR S10 Kitchen Comedy 2	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	Pizz and Xylo create general quirky Kitchen comedy		Comedy/ Kitchen fumble	
SERIES 10	MKR S10 Kitchen Circus Comedy	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	A comedic circus sound as the delicate kitchen juggling act performs		Comedy/ Kitchen fumble	
SERIES 10	MKR S10 Cooking Race the Clock	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	A steady build through out with a frantic modern beat sees the contestant race against time		Cooking Beat	
SERIES 10	MKR S10 Cooking Its Coming Together	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	An optimistic cooking beat with a slightly triumphant dreamy middle		Cooking - Optimistic	
SERIES 10	MKR S10 Cooking Down to business	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	An urgent string section builds throughout		Cooking Beat	
SERIES 10	MKR S10 Taste Food A That Sinking Feeling	My Kitchen Rules Background (Series 10)	Jay Stewart		RED MUSIC PUBLISHING	A tense pulse feature sinking string FX		Tasting food/ Judging food	
SERIES 10	MKR S10 Taste Food A Negative There is No Saving This	My Kitchen Rules Background (Series 10)	Jay Stewart		RED MUSIC PUBLISHING	A negative tense companion to "That Sinking Feeling"  Same key same tempo		Tasting food/ Judging food	
SERIES 10	MKR S10 Taste Food A Positive There is something good here	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	A positive companion to "That Sinking Feeling" Same key same tempo		Tasting food/ Judging food	
SERIES 10	MKR S10 Taste Food B Does he like it?	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	An atmospheric pulsing tension that doesn't give away if he likes it or not….slight build		Tasting food/ Judging food	
SERIES 10	MKR S10 Taste Fodd B This is not good.	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	A negative tense companion to "Does He Like it"  Same key same tempo		Tasting food/ Judging food	
SERIES 10	MKR S10 Taste Food B Positive  It's All Good	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	A positive companion to "Does He Like it" Same key same tempo		Tasting food/ Judging food	
SERIES 10	MKR S10 Taste Food C He isnt Sure	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	A light tention with a time ticking pulse. Builds toward a climax		Tasting food/ Judging food	
SERIES 10	MKR S10 Taste Food C Negative Its Not Right	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	A negative tense companion to "He Isnt Sure"  Same key same tempo.		Tasting food/ Judging food	
SERIES 10	MKR S10 Taste Food C Positive You Nailed it	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	A positive companion to "He Isnt Sure" Same key same tempo		Tasting food/ Judging food	
SERIES 10	MKR S10 Taste Food D Is this Cooked Through?	My Kitchen Rules Background (Series 10)	Jay Stewart		RED MUSIC PUBLISHING	You can the air with a knife as your heart sinks with each frown		Tasting food/ Judging food	
SERIES 10	MKR S10 Taste Food D The Bell Tolls	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	A negative tense companion to "Is this Cooked through"  Same key same tempo		Tasting food/ Judging food	
SERIES 10	MKR S10 Taste Food D Not Too Bad	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	A positive companion to "Is This Cooked Through" Same key same tempo		Tasting food/ Judging food	
SERIES 10	MKR S10 The Cook Never Stops	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	A low piano punctuates a driving cooking track when time is running out		Cooking Beat	
SERIES 10	MKR S10 Cooking Its Funky	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	A slightly funky groove with a purposeful and energetic positive feel		Cooking Beat	
SERIES 10	MKR S10 Cooking The Process	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	A solid steady Cooking track….when everything is on track		Cooking Beat	
SERIES 10	MKR Cooking Doing The Business	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	A simple and positive track that builds over the length		Cooking Strong Positive	
SERIES 10	MKR S10 Kitchen Comedy 3	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	Playfull & light for comical conversation		Comedy/ Conversation	
SERIES 10	MKR S10 Taste Food - He is going to be sick	My Kitchen Rules Background (Series 10)	Jay Stewart		RED MUSIC PUBLISHING	An unsettling track with falling sinking effects. 		Tasting food/ Judging food	
SERIES 10	MKR S10 Cooking Tension Build	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	String dramatic percussion and strings for full on Kitchen drama		Cooking Beat	
SERIES 10	MKR S10 Taste Food E The first taste	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	Light atmospheric tension, neither positive or negative. Waiting for the verdict		Tasting food/ Judging food	
SERIES 10	MKR S10 Taste Food E Negative No Salt?	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	A negative tense companion to "The first taste"  Same key same tempo		Tasting food/ Judging food	
SERIES 10	MKR S10 Taste Food E Positive It Only Gets Better	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	A positive companion to "The First taste" Same key same tempo. Builds in Positiveness		Tasting food/ Judging food	
SERIES 10	MKR S10 Taste Food F Waiting	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	Light pensive atmosphere. Waiting for the first comment.  Hurry up!!		Tasting food/ Judging food	
SERIES 10	MKR S10 Taste Food F Negative Anxiousness	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	A negative tense companion to "Waiting"  Same key same tempo		Tasting food/ Judging food	
SERIES 10	MKR S10 Taste Food F positive Nice Surprise	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	A positive companion to "Waiting" Same keySlightly faster. A gradual reveal to elation		Tasting food/ Judging food	
SERIES 10	MKR S10 Taste Food G Curiosity	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	A light playful atmosphere for tasting food. Slight tenser interlude section		Tasting food/ Judging food	
SERIES 10	MKR S10 Taste Food G Negative Not Right	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	A negative tense companion to "Curiosity"  Same key same tempo. A bombastic dark NRG		Tasting food/ Judging food	
SERIES 10	MKR S10 Taste Food G Positive At Last!	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	A positive companion to "Curioistyt" Same key same tempo		Tasting food/ Judging food	
SERIES 10	MKR S10 Instant Rest Chat 1	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	Light and energetic. Sparse stems will work for quieter moments of dialogue		Instant Restaurant Converstation	
SERIES 10	MKR S10 Cooking Beat Delicate Finishes	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	Light beat and atmospheric pulses. Intricate cooking scenes		Cooking Beat	
SERIES 10	MKR S10 Cooking Beat Intricate Deserts	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	Light open beat with a slight anticpation tension. Delicate decorations		Cooking Beat	
SERIES 10	MKR S10 Instant Rest Chat 2	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	Light playful Marimba with simple light Hip hop perc		Instant Restaurant Converstation	
SERIES 10	MKR S10 Instant Rest Chat 3	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	Light suspenseful mallets and strings. Tense conversation develops		Instant Restaurant Converstation	
SERIES 10	MKR S10 Cooking Beat Perpetual Motion	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	Solid purposeful latin beat for steady, active kitchen scenes		Cooking Beat	
SERIES 10	MKR S10 Cooking Beat Light Action	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	Positive Light beat with Pizz strings and GTR riffs. Light purposeful cooking		Cooking Beat	
SERIES 10	MKR S10 Cooking Beat Medium action	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	Positive beats and pulses for steady cooking action. No danger here..only action		Cooking Beat	
SERIES 10	MKR S10 Cooking Beat Moving Forward	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	Low string pulses with modern drum stutters joined by high mallet pulses. Solid action		Cooking Beat	
SERIES 10	MKR S10  Cooking Beat Time Is Short	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	An urgent string line with shimmering pulses signal that time is running out		Cooking Beat	
SERIES 10	MKR S10 Cooking Beat Its Serious	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	Bust orchestra building with a sense of serious endeavour		Cooking Beat	
SERIES 10	MKR S10 Cooking Beat Cooking Heroics	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	An energetic and heroic orchestral sound. Things are busy but going well in the kitchen		Cooking Beat	
SERIES 10	MKR S10 Cooking Beat Steady as she Goes	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	An up beat and positive cooking beat. Winning the race against the clock		Cooking Beat	
SERIES 10	MKR S10 Cooking Beat 2nd Gear	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	Things are just starting to heat up in the kitchen!		Cooking Beat	
SERIES 10	MKR S10 Instant Rest Chat 4	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	Light bubbly percussion and pizz		Table conversation	
SERIES 10	MKR S10 Instant Rest Chat 5	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	Understated medium pulse with Pizz and Mallets.  Stems are most useful		Table conversation	
SERIES 10	MKR S10 Instant Rest Chat 6	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	Slightly comedic bubbly underscore with Mallets and Pizz. Light Perc. Also useful light action		Table conversation	
SERIES 10	MKR S10 Instant Rest Chat 7	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	Medium slow paced cheeky Mallets and Pizz.		Table conversation	
SERIES 10	MKR S10 Instant Rest Chat 8	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	Chat but the tone is inquisitive. Slighty more serious but still playful		Table conversation	
SERIES 10	MKR S10 Instant Rest Chat 9	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	Lo Pizz and triangle….more thoughtful conversation		Table conversation	
SERIES 10	MKR S10 Cooking Beat FX Disruption 1	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	An orchestral driving cooking beat with has a distinct FX disruption for punctuation midway		Cooking Beat	
SERIES 10	MKR S10 Cooking Beat FX Disruption 2	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	A meadium orchestral cooking beat with FX disruption midway		Cooking Beat	
SERIES 10	MKR S10 Cooking Driving Piano 1	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	an energy cooking beat driven by piano with orchestral punctuations		Cooking Beat	
SERIES 10	MKR S10 Cooking Driving Piano 2	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	Driving piano with orchestral accents creats tension and urgent cooking		Cooking Beat	
SERIES 10	MKR S10 Cooking Beat FX Disruption 3	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	A "galloping" orchestral pulse is interupted by a momentary disaster FX. Sliight tension the continues		Cooking Beat	
SERIES 10	MKR S10 Cooking Beat FX Disruption 4	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING	A "heroic" successful cooking theme quickly gives way to tension and then a disaster FX. 		Cooking Beat	
SERIES 10	MKR S10 Pos to Neg Sudden and Devistating	My Kitchen Rules Background (Series 10)	Jay Stewart		RED MUSIC PUBLISHING	A growing positive energy is interupted suddenly as things are not you expect		Tasting food/ Judging food	
SERIES 10	MKR S10 Pos to Neg Hopes rise then dashed!	My Kitchen Rules Background (Series 10)	Jay Stewart		RED MUSIC PUBLISHING	A growing hopeful contestant is brought down to earth. The last comment has s sting		Tasting food/ Judging food	
SERIES 10	MKR S10 Neg to Pos It Turns Out OK	My Kitchen Rules Background (Series 10)	Jay Stewart		RED MUSIC PUBLISHING	A tense but anticipation start transforms into renewed hope and success		Tasting food/ Judging food	
SERIES 10	MKR S10 Neg to Pos The judges decide in the Positive!	My Kitchen Rules Background (Series 10)	Jay Stewart		RED MUSIC PUBLISHING	The judges are thinking very carefully about this one….and the….SUCCESS		Tasting food/ Judging food	
SERIES 10	MKR 2019 S10 Instant Rest Light Hearted Chat 1 in D JB	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING				
SERIES 10	MKR 2019 S10 Instant Rest Light Hearted Chat 3 in E JB	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING				
SERIES 10	MKR 2019 S10 Food Tasting 1 in E  JB	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING				
